clip_name,split,face_emotion,face_confidence,face_vector,voice_emotion,voice_confidence,voice_vector,text_emotion,text_confidence,text_vector,mas_face_voice,mas_face_text,mas_voice_text,incongruent,conflicting_pairs,dominant_modality,meld_emotion,meld_sentiment,utterance,speaker,dialogue_id,utterance_id
dia561_utt10,train,neutral,0.988,"[0.0029, 0.0, 0.0001, 0.0024, 0.988, 0.0067, 0.0]",anger,0.7296,"[0.7296, 0.0, 0.0, 0.0523, 0.0269, 0.1912, 0.0]",surprise,0.4161,"[0.1436, 0.3591, 0.0312, 0.0089, 0.0195, 0.0217, 0.4161]",0.0403,0.0352,0.255,True,['face-voice'],face,neutral,neutral,"Well, who's to say what's true? I mean...",Joey,561,10
dia262_utt15,test,neutral,0.939,"[0.0, 0.0, 0.01, 0.0018, 0.939, 0.0005, 0.0487]",neutral,0.7878,"[0.0156, 0.0, 0.0, 0.1965, 0.7878, 0.0001, 0.0]",joy,0.4592,"[0.0304, 0.0191, 0.009, 0.4592, 0.4063, 0.0388, 0.0372]",0.9692,0.6627,0.8204,False,[],face,joy,positive,I bought a restaurant and I would like you to be the head chef.,Pete,262,15
dia610_utt6,train,surprise,0.3621,"[0.1328, 0.0, 0.1912, 0.0012, 0.0309, 0.2818, 0.3621]",joy,0.7637,"[0.1615, 0.0, 0.0, 0.7637, 0.0506, 0.0242, 0.0]",disgust,0.7787,"[0.0331, 0.7787, 0.0454, 0.0055, 0.0913, 0.036, 0.0099]",0.0762,0.0731,0.0244,True,['voice-text'],text,joy,positive,I'd better not found you naked in my hotel room!,Ross,610,6
dia2_utt4,train,anger,0.7125,"[0.7125, 0.0, 0.0033, 0.0, 0.0557, 0.2284, 0.0]",joy,0.9984,"[0.0015, 0.0, 0.0, 0.9984, 0.0, 0.0, 0.0]",anger,0.6438,"[0.6438, 0.2255, 0.0185, 0.0074, 0.0155, 0.0223, 0.0671]",0.0014,0.9026,0.0122,True,"['face-voice', 'voice-text']",voice,surprise,negative,No way!,Chandler,2,4
dia67_utt8,dev,sadness,0.9828,"[0.0004, 0.0, 0.0135, 0.0, 0.0033, 0.9828, 0.0]",joy,0.4961,"[0.002, 0.0, 0.0, 0.4961, 0.3897, 0.1122, 0.0]",disgust,0.9273,"[0.012, 0.9273, 0.0176, 0.0015, 0.0203, 0.0066, 0.0147]",0.1771,0.0075,0.0158,True,['face-text'],face,neutral,neutral,Does Ralph mumble when you’re not paying attention?,Monica,67,8
dia469_utt1,train,neutral,0.9998,"[0.0, 0.0, 0.0, 0.0001, 0.9998, 0.0001, 0.0]",anger,0.497,"[0.497, 0.0, 0.0, 0.4281, 0.0645, 0.0105, 0.0]",neutral,0.4947,"[0.0235, 0.1882, 0.0765, 0.0043, 0.4947, 0.1201, 0.0928]",0.0979,0.8891,0.1272,False,[],face,joy,positive,"Julie’s cervix is dilated a seven centimeters, that’s about four fingers. The doctor let me feel it myself.",Marc,469,1
dia130_utt9,train,fear,0.6862,"[0.0, 0.0, 0.6862, 0.0, 0.0502, 0.2636, 0.0]",neutral,0.9106,"[0.008, 0.0, 0.0, 0.0796, 0.9106, 0.0017, 0.0]",joy,0.4837,"[0.054, 0.1217, 0.0162, 0.4837, 0.2016, 0.077, 0.0458]",0.0685,0.1028,0.4443,True,['face-voice'],voice,disgust,negative,"Huh, Rach I got to say it’s gonna take a lot of money for me to go out on a date with a dude.",Joey,130,9
dia69_utt2,test,fear,0.7627,"[0.0069, 0.0, 0.7627, 0.0, 0.0033, 0.227, 0.0]",joy,0.7341,"[0.0004, 0.0, 0.0, 0.7341, 0.2625, 0.003, 0.0]",surprise,0.716,"[0.0424, 0.0385, 0.0094, 0.0033, 0.1705, 0.0199, 0.716]",0.0025,0.0213,0.0821,True,"['face-voice', 'face-text', 'voice-text']",face,neutral,neutral,Who's he sleeping with?,Chandler,69,2
dia1009_utt1,train,surprise,0.5653,"[0.0014, 0.0, 0.4108, 0.0222, 0.0003, 0.0, 0.5653]",anger,0.825,"[0.825, 0.0, 0.0, 0.0708, 0.0793, 0.0249, 0.0]",neutral,0.7642,"[0.0651, 0.0973, 0.0181, 0.0042, 0.7642, 0.0403, 0.0107]",0.0047,0.0256,0.1794,True,['voice-text'],voice,neutral,neutral,"No, you were right. I don't have a plan.",Monica,1009,1
dia763_utt0,train,sadness,0.7966,"[0.0047, 0.0001, 0.1983, 0.0002, 0.0001, 0.7966, 0.0]",neutral,0.7208,"[0.017, 0.0, 0.0, 0.2623, 0.7208, 0.0, 0.0]",neutral,0.8689,"[0.0058, 0.0063, 0.0044, 0.0531, 0.8689, 0.0151, 0.0463]",0.0003,0.0183,0.9572,True,"['face-voice', 'face-text']",text,neutral,neutral,Hi.,Chandler,763,0
dia455_utt13,train,sadness,0.6413,"[0.0081, 0.0, 0.3475, 0.0, 0.0024, 0.6413, 0.0007]",joy,0.9641,"[0.0, 0.0, 0.0, 0.9641, 0.0037, 0.0322, 0.0]",joy,0.764,"[0.0069, 0.0132, 0.0028, 0.764, 0.1786, 0.017, 0.0174]",0.0293,0.0217,0.9741,True,"['face-voice', 'face-text']",voice,joy,positive,"Yeah, that'd be great. I'd love it.",Rachel,455,13
dia250_utt5,test,neutral,0.5357,"[0.4317, 0.0, 0.0007, 0.0034, 0.5357, 0.0284, 0.0]",neutral,0.7817,"[0.0001, 0.0, 0.0, 0.2158, 0.7817, 0.0023, 0.0]",disgust,0.8319,"[0.0496, 0.8319, 0.0226, 0.0012, 0.0115, 0.0095, 0.0739]",0.7515,0.0483,0.0137,True,['voice-text'],text,surprise,negative,"Wow, that was kinda brutal.",Joey,250,5
dia642_utt1,train,sadness,0.5674,"[0.2658, 0.0, 0.0687, 0.0558, 0.0422, 0.5674, 0.0001]",joy,0.9618,"[0.0104, 0.0, 0.0, 0.9618, 0.0002, 0.0275, 0.0]",anger,0.6207,"[0.6207, 0.1184, 0.0266, 0.0489, 0.0346, 0.0245, 0.1263]",0.1181,0.4498,0.0869,True,['voice-text'],voice,surprise,positive,I do?,Chandler,642,1
dia789_utt3,train,joy,0.4794,"[0.2362, 0.0, 0.0001, 0.4794, 0.1245, 0.1599, 0.0]",neutral,0.6665,"[0.0167, 0.0, 0.0, 0.2232, 0.6665, 0.0936, 0.0]",disgust,0.3386,"[0.1862, 0.3386, 0.0739, 0.0158, 0.2947, 0.0774, 0.0132]",0.5152,0.3536,0.5953,False,[],voice,fear,negative,"Uhh, look Katie, uh listen, we-we need to talk.",Joey,789,3
dia208_utt10,train,fear,0.8076,"[0.0005, 0.0, 0.8076, 0.0001, 0.0001, 0.1915, 0.0001]",joy,0.9974,"[0.0, 0.0, 0.0, 0.9974, 0.0023, 0.0003, 0.0]",joy,0.8559,"[0.009, 0.0112, 0.0034, 0.8559, 0.0858, 0.0078, 0.0269]",0.0002,0.0061,0.9946,True,"['face-voice', 'face-text']",voice,surprise,positive,"Oh, great!",Rachel,208,10
dia975_utt4,train,fear,0.5569,"[0.0, 0.0, 0.5569, 0.0001, 0.274, 0.169, 0.0]",neutral,0.8395,"[0.0, 0.0, 0.0, 0.1605, 0.8395, 0.0, 0.0]",joy,0.7046,"[0.0723, 0.0077, 0.0027, 0.7046, 0.0624, 0.0114, 0.139]",0.4184,0.0442,0.2672,True,['voice-text'],voice,neutral,neutral,Hey?,Ross,975,4
dia809_utt6,train,fear,0.5808,"[0.2195, 0.0009, 0.5808, 0.0893, 0.0209, 0.0047, 0.0838]",joy,0.6659,"[0.0, 0.0, 0.0, 0.6659, 0.3323, 0.0018, 0.0]",surprise,0.6293,"[0.0299, 0.0301, 0.0031, 0.0202, 0.2784, 0.009, 0.6293]",0.141,0.1575,0.2065,True,['voice-text'],voice,joy,positive,Whoo-ho-ho!,Joey,809,6
dia950_utt15,train,sadness,0.8319,"[0.1517, 0.0, 0.0098, 0.0062, 0.0005, 0.8319, 0.0]",joy,0.9875,"[0.006, 0.0, 0.0, 0.9875, 0.0063, 0.0003, 0.0]",joy,0.7491,"[0.0079, 0.0339, 0.0168, 0.7491, 0.0473, 0.1419, 0.0032]",0.0087,0.1918,0.9798,True,"['face-voice', 'face-text']",voice,joy,positive,I would make a good cowboy.,Ross,950,15
dia451_utt6,train,sadness,0.9172,"[0.0001, 0.0, 0.0683, 0.0, 0.0144, 0.9172, 0.0]",anger,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.3191,"[0.0215, 0.1638, 0.1731, 0.014, 0.3191, 0.3045, 0.004]",0.0001,0.6404,0.0428,True,['face-voice'],voice,neutral,neutral,You agreed to take me in sickness and in health.,Monica,451,6
dia606_utt7,train,surprise,0.9995,"[0.0, 0.0, 0.0005, 0.0, 0.0, 0.0, 0.9995]",neutral,0.8654,"[0.0767, 0.0, 0.0, 0.058, 0.8654, 0.0, 0.0]",neutral,0.9258,"[0.0054, 0.0115, 0.0027, 0.0032, 0.9258, 0.018, 0.0333]",0.0,0.0359,0.9937,True,"['face-voice', 'face-text']",face,neutral,neutral,Ross.,Ross,606,7
dia168_utt14,test,fear,0.8012,"[0.0, 0.0, 0.8012, 0.0, 0.0, 0.1987, 0.0]",anger,0.5889,"[0.5889, 0.0, 0.0, 0.3117, 0.0994, 0.0, 0.0]",surprise,0.4428,"[0.3446, 0.0972, 0.0184, 0.0118, 0.0681, 0.0172, 0.4428]",0.0,0.0384,0.5516,False,[],face,surprise,negative,"Okay, who are you?",The Stripper,168,14
dia200_utt6,train,sadness,0.6169,"[0.1733, 0.0, 0.1824, 0.0, 0.0274, 0.6169, 0.0]",anger,0.9558,"[0.9558, 0.0, 0.0, 0.0201, 0.0058, 0.0183, 0.0]",anger,0.603,"[0.603, 0.1303, 0.0129, 0.0056, 0.2093, 0.0263, 0.0126]",0.2778,0.2962,0.927,True,"['face-voice', 'face-text']",voice,anger,negative,"Y’know what? He didn’t want to talk to us about being angry, well maybe we don’t talk to him",Ross,200,6
dia737_utt2,train,sadness,0.9195,"[0.005, 0.0, 0.0025, 0.0568, 0.0162, 0.9195, 0.0]",joy,0.8657,"[0.0168, 0.0, 0.0, 0.8657, 0.0961, 0.0213, 0.0]",neutral,0.5882,"[0.0478, 0.0117, 0.0876, 0.005, 0.5882, 0.0095, 0.2503]",0.0877,0.0319,0.1097,True,['face-voice'],face,neutral,neutral,"I know, just quick-quick question, quick question. Which one was",Chandler,737,2
dia635_utt7,train,anger,0.5264,"[0.5264, 0.0036, 0.2119, 0.0001, 0.0026, 0.2549, 0.0005]",joy,0.8629,"[0.023, 0.0, 0.0, 0.8629, 0.1135, 0.0006, 0.0]",neutral,0.8252,"[0.0384, 0.0613, 0.0372, 0.0096, 0.8252, 0.0247, 0.0036]",0.0234,0.0713,0.1423,True,['voice-text'],voice,neutral,neutral,"Yes, of course.",Chandler,635,7
dia805_utt4,train,sadness,0.8511,"[0.006, 0.0004, 0.1424, 0.0, 0.0001, 0.8511, 0.0]",joy,0.4877,"[0.0014, 0.0, 0.0, 0.4877, 0.2195, 0.2914, 0.0]",surprise,0.8316,"[0.0405, 0.0835, 0.0064, 0.0131, 0.0159, 0.0091, 0.8316]",0.472,0.0124,0.0247,True,['face-text'],face,surprise,positive,"It's no big deal, I mean it is her home phone number, but... Whoa!",Ross,805,4
dia63_utt2,dev,sadness,0.7079,"[0.0515, 0.0005, 0.0061, 0.0004, 0.2333, 0.7079, 0.0004]",anger,0.9464,"[0.9464, 0.0, 0.0, 0.005, 0.0445, 0.0041, 0.0]",neutral,0.7955,"[0.0523, 0.0679, 0.0507, 0.0049, 0.7955, 0.0193, 0.0094]",0.0877,0.3375,0.1119,True,"['face-voice', 'face-text', 'voice-text']",voice,anger,negative,But having a dove place the ring on your finger would’ve been no problem?,Ross,63,2
dia191_utt9,test,sadness,0.4987,"[0.1381, 0.0, 0.0249, 0.0002, 0.3382, 0.4987, 0.0]",neutral,0.7662,"[0.0032, 0.0, 0.0, 0.2306, 0.7662, 0.0001, 0.0]",surprise,0.8963,"[0.0251, 0.0191, 0.0044, 0.0046, 0.0471, 0.0032, 0.8963]",0.5245,0.0381,0.0518,True,['voice-text'],text,neutral,neutral,Yeah?,Chandler,191,9
dia370_utt0,train,sadness,0.5607,"[0.1136, 0.0, 0.0234, 0.0, 0.3022, 0.5607, 0.0]",sadness,0.9006,"[0.0753, 0.0, 0.0, 0.0218, 0.0023, 0.9006, 0.0]",neutral,0.541,"[0.1089, 0.1944, 0.0283, 0.0047, 0.541, 0.013, 0.1096]",0.8786,0.4763,0.0395,False,[],voice,neutral,neutral,"Really Mr. Geller, you don’t have to do this.",Sarah,370,0
dia978_utt6,train,sadness,0.5972,"[0.0775, 0.0, 0.3253, 0.0, 0.0, 0.5972, 0.0]",joy,0.7011,"[0.0924, 0.0, 0.0, 0.7011, 0.0004, 0.2061, 0.0]",sadness,0.4231,"[0.0798, 0.0791, 0.2092, 0.004, 0.1703, 0.4231, 0.0345]",0.2583,0.9267,0.2567,False,[],voice,surprise,negative,You missed the exit!,Friend No. 2,978,6
dia13_utt1,train,sadness,0.8676,"[0.0086, 0.0, 0.0236, 0.0002, 0.1, 0.8676, 0.0]",joy,0.6959,"[0.0131, 0.0, 0.0, 0.6959, 0.0561, 0.2348, 0.0]",surprise,0.97,"[0.0034, 0.0051, 0.0027, 0.0036, 0.0135, 0.0017, 0.97]",0.3256,0.0034,0.0052,True,"['face-voice', 'face-text', 'voice-text']",text,neutral,neutral,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,13,1
dia446_utt3,train,sadness,0.7273,"[0.0151, 0.0, 0.0033, 0.0004, 0.2538, 0.7273, 0.0]",joy,0.5199,"[0.0176, 0.0, 0.0, 0.5199, 0.4624, 0.0, 0.0]",neutral,0.6163,"[0.012, 0.0177, 0.0055, 0.0081, 0.6163, 0.0043, 0.3361]",0.2198,0.2952,0.592,True,['face-text'],face,neutral,neutral,What like Pete Dakota?,Pete,446,3
dia172_utt1,test,sadness,0.9858,"[0.0003, 0.0, 0.0003, 0.0006, 0.013, 0.9858, 0.0]",neutral,0.563,"[0.1711, 0.0, 0.0, 0.2193, 0.563, 0.0467, 0.0]",neutral,0.4168,"[0.0907, 0.0953, 0.2033, 0.0207, 0.4168, 0.1664, 0.0069]",0.0862,0.337,0.8167,False,[],face,neutral,neutral,"Oh no-no believe me, I’m leaving as soon as possible!",Elizabeth,172,1
dia103_utt4,train,sadness,0.9668,"[0.0006, 0.0, 0.0, 0.0121, 0.0204, 0.9668, 0.0]",joy,0.8833,"[0.0317, 0.0, 0.0, 0.8833, 0.036, 0.049, 0.0]",joy,0.4629,"[0.0259, 0.0619, 0.29, 0.4629, 0.0116, 0.1465, 0.0012]",0.0686,0.2678,0.8269,True,['face-voice'],face,neutral,neutral,I studied for a year in Barcelona.,Kristen,103,4
dia633_utt6,train,sadness,0.7404,"[0.2225, 0.0024, 0.0187, 0.0003, 0.0157, 0.7404, 0.0]",joy,0.8263,"[0.0028, 0.0, 0.0, 0.8263, 0.1709, 0.0, 0.0]",neutral,0.6201,"[0.0109, 0.0041, 0.0083, 0.011, 0.6201, 0.0067, 0.3391]",0.0054,0.0316,0.193,True,"['face-voice', 'face-text', 'voice-text']",voice,neutral,neutral,Hello?,Rachel,633,6
dia632_utt7,train,sadness,0.6796,"[0.0, 0.0, 0.2255, 0.0, 0.0948, 0.6796, 0.0]",anger,0.8562,"[0.8562, 0.0, 0.0, 0.1313, 0.0104, 0.0021, 0.0]",anger,0.4849,"[0.4849, 0.4447, 0.0166, 0.0009, 0.0186, 0.0332, 0.0012]",0.0039,0.059,0.7276,True,['face-voice'],voice,disgust,negative,It’s wrong.,Monica,632,7
dia2_utt1,train,sadness,0.9494,"[0.0001, 0.0, 0.0466, 0.0, 0.004, 0.9494, 0.0]",anger,0.7535,"[0.7535, 0.0, 0.0, 0.2253, 0.004, 0.0173, 0.0]",disgust,0.7412,"[0.1757, 0.7412, 0.0074, 0.0018, 0.0218, 0.0387, 0.0133]",0.022,0.0513,0.2224,True,"['face-voice', 'face-text', 'voice-text']",face,neutral,neutral,Hey-hey-hey. You wanna hear something that sucks.,Monica,2,1
dia477_utt2,train,anger,0.7622,"[0.7622, 0.0, 0.2009, 0.0, 0.0001, 0.0343, 0.0024]",neutral,0.5457,"[0.0, 0.0, 0.0, 0.4542, 0.5457, 0.0001, 0.0]",neutral,0.6912,"[0.0209, 0.0513, 0.0188, 0.0098, 0.6912, 0.1335, 0.0745]",0.0001,0.0439,0.7567,True,['face-text'],face,neutral,neutral,Hot dog?,Ross,477,2
dia686_utt1,train,surprise,0.9631,"[0.0002, 0.0, 0.0332, 0.0, 0.0021, 0.0013, 0.9631]",neutral,0.6816,"[0.01, 0.0, 0.0, 0.3083, 0.6816, 0.0001, 0.0]",neutral,0.5763,"[0.288, 0.0367, 0.0219, 0.0594, 0.5763, 0.0155, 0.0022]",0.002,0.0067,0.8532,True,['face-voice'],face,neutral,neutral,I’ll do it.,Rachel,686,1
dia501_utt5,train,joy,1.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",joy,0.963,"[0.0136, 0.0, 0.0, 0.963, 0.0234, 0.0, 0.0]",neutral,0.4334,"[0.0327, 0.3474, 0.0225, 0.0062, 0.4334, 0.0088, 0.149]",0.9996,0.0108,0.0298,False,[],face,disgust,negative,Wo-women? You mean like old women?,Rachel,501,5
dia371_utt6,train,joy,0.9999,"[0.0, 0.0, 0.0, 0.9999, 0.0, 0.0, 0.0]",joy,0.6297,"[0.0004, 0.0, 0.0, 0.6297, 0.3698, 0.0001, 0.0]",surprise,0.8562,"[0.0494, 0.0443, 0.0031, 0.0139, 0.028, 0.0051, 0.8562]",0.8623,0.0162,0.0305,True,"['face-text', 'voice-text']",face,surprise,positive,"So you're really doing this, huh?",Joey,371,6
dia740_utt0,train,sadness,0.4686,"[0.0637, 0.0, 0.4001, 0.0, 0.0673, 0.4686, 0.0003]",joy,0.8364,"[0.0149, 0.0, 0.0, 0.8364, 0.1184, 0.0303, 0.0]",neutral,0.8806,"[0.0539, 0.0391, 0.0064, 0.0033, 0.8806, 0.0053, 0.0114]",0.0438,0.123,0.1446,True,['voice-text'],text,sadness,negative,"Well, she’ll understand right? It’s not like I did it on purpose.",Mr. Geller,740,0
dia192_utt4,test,sadness,0.9984,"[0.0, 0.0, 0.0015, 0.0, 0.0001, 0.9984, 0.0]",anger,0.8578,"[0.8578, 0.0, 0.0, 0.1408, 0.0014, 0.0, 0.0]",anger,0.4269,"[0.4269, 0.0573, 0.2808, 0.0018, 0.0934, 0.0082, 0.1315]",0.0,0.0161,0.7825,True,['face-voice'],face,anger,negative,Why would the baby creep me out?,Chandler,192,4
dia119_utt0,train,sadness,0.5287,"[0.2396, 0.0, 0.0068, 0.0, 0.2249, 0.5287, 0.0]",neutral,0.9676,"[0.001, 0.0, 0.0, 0.0314, 0.9676, 0.0, 0.0]",surprise,0.6275,"[0.0337, 0.0759, 0.0307, 0.0087, 0.2033, 0.0202, 0.6275]",0.3615,0.156,0.3056,True,['voice-text'],voice,neutral,neutral,I don't know.,Joey,119,0
dia1015_utt7,train,anger,0.3956,"[0.3956, 0.0091, 0.3177, 0.0, 0.0031, 0.2001, 0.0745]",neutral,0.8707,"[0.0165, 0.0, 0.0, 0.0467, 0.8707, 0.0661, 0.0]",neutral,0.6783,"[0.0236, 0.0461, 0.0038, 0.0075, 0.6783, 0.0048, 0.2359]",0.0466,0.0796,0.9394,False,[],voice,neutral,neutral,"Okay, now that was Gerston, Santos, and who's the guy with the moustache?",Chandler,1015,7
dia189_utt6,test,neutral,0.6901,"[0.0001, 0.0, 0.0199, 0.0486, 0.6901, 0.2414, 0.0]",joy,0.9602,"[0.0002, 0.0, 0.0, 0.9602, 0.0385, 0.0011, 0.0]",joy,0.8778,"[0.0042, 0.0077, 0.0013, 0.8778, 0.0868, 0.0034, 0.019]",0.1043,0.1598,0.998,True,"['face-voice', 'face-text']",voice,neutral,neutral,"I think it’s great. It’s great. Y’know, they’re thinking of changing the name of this place.",Chandler,189,6
dia622_utt9,train,sadness,0.7216,"[0.0628, 0.0, 0.1701, 0.0001, 0.045, 0.7216, 0.0002]",joy,0.9572,"[0.0246, 0.0, 0.0, 0.9572, 0.0039, 0.0142, 0.0]",neutral,0.4285,"[0.1425, 0.1407, 0.0446, 0.0133, 0.4285, 0.0123, 0.2179]",0.0169,0.1149,0.0361,True,['face-voice'],voice,neutral,neutral,"This is completely normal, around the fourth month your hormones start going crazy.",Phoebe,622,9
dia820_utt9,train,neutral,0.5125,"[0.0, 0.0, 0.0003, 0.3821, 0.5125, 0.0, 0.105]",anger,0.9528,"[0.9528, 0.0, 0.0, 0.043, 0.0025, 0.0017, 0.0]",neutral,0.7295,"[0.0103, 0.0132, 0.0031, 0.0673, 0.7295, 0.0203, 0.1564]",0.0287,0.8567,0.0204,True,['voice-text'],voice,joy,positive,"Oh, and the director is supposed to be the next next Martin Scorcese.",Joey,820,9
dia68_utt11,dev,joy,0.708,"[0.0094, 0.0, 0.0007, 0.708, 0.1539, 0.1277, 0.0002]",anger,0.6146,"[0.6146, 0.0, 0.0, 0.0896, 0.2784, 0.0173, 0.0]",neutral,0.8518,"[0.0207, 0.0293, 0.0596, 0.005, 0.8518, 0.0144, 0.0192]",0.2281,0.2173,0.4305,True,"['face-voice', 'face-text', 'voice-text']",text,neutral,neutral,We know how tough those parent/teacher conferences can be.,Monica,68,11
dia83_utt3,dev,joy,0.9999,"[0.0, 0.0, 0.0, 0.9999, 0.0001, 0.0, 0.0]",joy,0.9382,"[0.0031, 0.0, 0.0, 0.9382, 0.0585, 0.0001, 0.0]",surprise,0.9222,"[0.0336, 0.0138, 0.0097, 0.0025, 0.0139, 0.0043, 0.9222]",0.9981,0.0027,0.0038,True,"['face-text', 'voice-text']",face,surprise,positive,What?,Monica,83,3
dia826_utt4,train,neutral,0.3196,"[0.061, 0.0, 0.2807, 0.1454, 0.3196, 0.1692, 0.024]",anger,0.4124,"[0.4124, 0.0, 0.0, 0.1443, 0.3917, 0.0516, 0.0]",neutral,0.4783,"[0.0356, 0.2016, 0.0972, 0.0074, 0.4783, 0.0946, 0.0854]",0.6305,0.7632,0.6485,False,[],text,sadness,negative,I-I wasn’t in that.,Joey,826,4
dia40_utt3,dev,fear,0.7802,"[0.1197, 0.0, 0.7802, 0.0003, 0.0006, 0.0571, 0.0421]",anger,0.7431,"[0.7431, 0.0, 0.0, 0.2507, 0.0055, 0.0007, 0.0]",surprise,0.5361,"[0.2106, 0.0791, 0.0503, 0.0107, 0.0885, 0.0246, 0.5361]",0.1433,0.1889,0.3446,True,['face-voice'],face,neutral,neutral,I said no.,Joey,40,3
